"Part";"Value";"Device";"Package";"Description";"BOM";"MANUFACTURER";"PARTNO";"SIZE";"TP_SIGNAL_NAME";
"U$25";"MOUNTINGHOLE3.0_NPH";"MOUNTINGHOLE3.0_NPH";"MOUNTINGHOLE_3.0_NPH";"Mounting Hole";"EXCLUDE";"";"";"";"";
"U$26";"MOUNTINGHOLE3.0_NPH";"MOUNTINGHOLE3.0_NPH";"MOUNTINGHOLE_3.0_NPH";"Mounting Hole";"EXCLUDE";"";"";"";"";
"U$27";"MOUNTINGHOLE3.0_NPH";"MOUNTINGHOLE3.0_NPH";"MOUNTINGHOLE_3.0_NPH";"Mounting Hole";"EXCLUDE";"";"";"";"";
"U1";"ATSAMD21G";"ATSAMD21G";"TQFP-48-EDITED";"SAMD21G MCU";"";"Microchip Technology";"ATSAMD21G18A-AU";"";"";
"U2";"MP2225";"PMIC-MP2225";"SOT-23-8";"MP2225 buck converter";"";"Monolithic Power Systems";"MP2225GJ";"";"";
"U3";"PMIC-AZ1117EH-3.3";"PMIC-AZ1117EH-3.3";"SOT223";"LDO VOLTAGE REGULATOR";"";"DIODES INC";"AZ1117EH-3.3TRG1";"";"";
"U5";"DRV8871";"DRV8871";"HSOP8";"DRV8871 - 3.6A PWM Motor Driver";"";"TEXAS INSTRUMENTS";"DRV8871DDAR";"HSOP8";"";
"U6";"DRV8871";"DRV8871";"HSOP8";"DRV8871 - 3.6A PWM Motor Driver";"";"TEXAS INSTRUMENTS";"DRV8871DDAR";"HSOP8";"";
"U7";"74AHCT1G125DBV";"74AHCT1G125DBV";"SOT23-5";"Single Bus Buffer Gate with 3-State Output";"";"";"SN74AHCT1G125DBVR";"";"";
"U9";"ICM-42605";"ICM-42605";"PQFN50P300X250X97-14N";"Single-Interface MotionTracking device The ICM-42605 is a 6-axis MotionTracking device that combines a 3-axis gyroscope, and a 3-axis accelerometer in a small 2.5x3x0.91";"";"TDK InvenSense";"ICM-42605";"";"";
"USB1";"MICRO-USB-SMD-B-(10118193-0001LF)";"MICRO-USB-SMD-B-(10118193-0001LF)";"MICRO-USB5+6P-SMD-0.65-B";"320010003";"";"Amphenol ICC";"10118193-0001LF";"";"";
